"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"178",178,178,"vc","vc21","led2425",NA,"blank",2020,"2020-08-06",1,"wv","n","10864769",NA,"m",70,"bl/br",0,"","ms",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,"","","",1,1,1,1,1,1,1,7,"10864769"
"179",179,179,"vc","vc22","led2425",NA,"p44",2020,"2020-08-06",1,"wv","n","5599672",NA,"m",80,"bl",2,"other","ns",NA,NA,NA,NA,NA,3,1,0,0,1,0,0,"","","white spot- tail and head",0,0,0,0,1,1,0,2,"5599672"
"180",180,180,"vc","vc23","led2425",NA,"k37",2020,"2020-08-07",2,"wv","r","10505423",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"10505423"
"181",181,181,"vc","vc24","led2425",NA,"p46",2020,"2020-08-07",2,"wv","n","6473022",NA,"f",90,"bl",2,"other",NA,"p","closed","N",0,"N",0,0,0,0,1,1,1,"m","lm","white spot- tail and head",1,1,1,1,0,1,0,5,"6473022"
"182",182,182,"vc","vc25","led2425",NA,"p48",2020,"2020-08-07",2,"wv","n","10864052",NA,"f",160,"bl",1,"back",NA,"p","open","Y",1,"N",0,0,0,0,1,1,1,"m","lm","",1,1,1,1,2,1,2,9,"10864052"
"183",183,183,"vc","","led2425",NA,"b23",2020,"2020-08-07",2,"wv","r","6479878",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"6479878"
"184",184,184,"vc","","led2425",NA,"b28",2020,"2020-08-07",2,"wv","r","6470025",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6470025"
"185",185,185,"vc","","led2425",NA,"cl88",2020,"2020-08-07",2,"wv","r","8673949",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5673949"
"186",186,186,"vc","vc26","led2425",NA,"b66",2020,"2020-08-07",2,"wv","n","5672821",NA,"m",25,"bl",2,"other","ns",NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,"","","white spot- head, tail",0,0,1,1,2,2,1,7,"5672821"
"187",187,187,"vc","vc27","led2425",NA,"p15",2020,"2020-08-07",2,"wv","n","10525795",NA,"f",175,"bl/br",1,"head",NA,"p","closed","Y",0,"N",NA,0,0,0,1,0,0,"","","",0,1,1,1,1,1,1,6,"10525795"
"188",188,188,"vc","vc28","led2425",NA,"ab01",2020,"2020-08-07",2,"wv","n","5598779",NA,"m",135,"bl",0,"","s",NA,NA,NA,NA,NA,0,0,1,0,1,1,1,"m","lm","",1,1,1,1,0,0,2,6,"5598779"
"189",189,189,"vc","elb21","cro1015",NA,"blue",2020,"2020-08-08",3,"wv","n","5666864",NA,"m",100,"bl",1,"back","ms",NA,NA,NA,NA,NA,2,2,0,0,1,1,1,"m","lm","",1,1,1,1,0,1,0,5,"5666864"
"190",190,190,"vc","","cro1015",NA,"p20",2020,"2020-08-08",3,"fv","r",NA,"ls","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"191",191,191,"vc","vc29","cro1015",NA,"p15",2020,"2020-08-08",3,"fv","n",NA,"","m",40,"",NA,"","s",NA,NA,NA,NA,NA,0,2,1,0,NA,1,0,"m","lm","stubby feet",NA,NA,NA,NA,NA,NA,NA,0,NA
"192",192,192,"vc","","cro1015",NA,"p52",2020,"2020-08-08",3,"wv","r","10864801",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,0,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"10864801"
"193",193,193,"vc","","cro1015",NA,"b13",2020,"2020-08-08",3,"fv","r",NA,"lh","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,NA
"194",194,194,"vc","vc30","cro1015",NA,"x25",2020,"2020-08-08",3,"wv","n","5594488",NA,"f",145,"bl",1,"head",NA,"p","open","Y",1,"N",0,2,0,0,1,1,1,"m","lm","",0,1,1,0,2,0,2,6,"5594488"
"195",195,195,"vc","","cro1015",NA,"a15",2020,"2020-08-08",3,"wv","r","5674075",NA,"",NA,"",NA,"","","","","",NA,"",NA,1,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5674075"
"196",196,196,"vc","","cro1015",NA,"cl64",2020,"2020-08-08",3,"fv","r",NA,"ls,rs","",NA,"",NA,"","","","","",NA,"",NA,NA,2,NA,NA,0,0,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"197",197,197,"vc","","cro1015",NA,"f04",2020,"2020-08-08",3,"wv",NA,"","","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,0,0,"","","escaped ",NA,NA,NA,NA,NA,NA,NA,0,""
"198",198,198,"vc","","cro1015",NA,"ab03",2020,"2020-08-08",3,"fv","r",NA,"rs","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,0,0,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"199",199,199,"vc","","cro1015",NA,"cl58",2020,"2020-08-08",3,"fv","n",NA,"","f",NA,"",NA,"",NA,"p","closed","Y",4,"Y",NA,NA,NA,NA,NA,NA,NA,"","","sadly died",NA,NA,NA,NA,NA,NA,NA,0,NA
"200",200,200,"vc","","cro1015",NA,"blank",2020,"2020-08-08",3,"fv","r",NA,"rh","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"201",201,201,"vc","vc31","sgi30",NA,"x5",2020,"2020-08-17",1,"wv","n","5668931",NA,"m",90,"bl",1,"head","ns",NA,NA,NA,NA,NA,4,0,2,0,1,0,0,NA,NA,"",0,1,1,1,2,0,2,7,"5668931"
"202",202,202,"vc","vc32","sgi30",NA,"a54",2020,"2020-08-17",1,"wv","n","6487359",NA,"m",75,"bl/br",1,"head","ns",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,NA,NA,"Double PIT tagged. Second tag was 5673892",1,0,1,0,1,2,1,6,"5673892"
"203",203,203,"vc","vc33","sgi31",NA,"p77",2020,"2020-08-17",1,"wv","n","5673524",NA,"m",130,"bl",1,"head","s",NA,NA,NA,NA,NA,2,0,2,0,1,0,0,NA,NA,"Vicious! ",1,0,1,1,2,1,2,8,"5673524"
"204",204,204,"vc","vc34","sgi3637",NA,"x25",2020,"2020-08-19",3,"wv","n","6490811",NA,"m",70,"bl",0,"","ns",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,"",1,0,0,0,0,1,0,2,"6490811"
"205",205,205,"vc","","sgi3637",NA,"da6",2020,"2020-08-19",3,"wv","r","5668043",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5668043"
"206",206,206,"elb","lm221","led01",NA,"x2",2020,"2020-07-27",1,"wv","n","5663705",NA,"f",110,"bl",1,"other",NA,"p","closed","N",1,"N",NA,2,0,0,1,1,1,"m","lm","white spot location- head and tail",0,0,1,1,1,1,1,5,"5663705"
"207",207,207,"elb","elb01","led01",NA,"cl18",2020,"2020-07-27",1,"wv","n","6473304",NA,"f",105,"bl",1,"head",NA,"p","closed","N",1,"N",0,1,0,0,1,1,1,"m","lm","",1,1,1,0,2,2,1,8,"6473304"
"208",208,208,"elb","elb02","led01",NA,"cl42",2020,"2020-07-27",1,"wv","n","5667730",NA,"f",160,"bl",1,"head",NA,"p","open","N",2,"Y",NA,1,0,0,1,1,1,"m","lm","",0,1,1,0,2,0,1,5,"5667730"
"209",209,209,"elb","elb03","led01",NA,"cl77",2020,"2020-07-27",1,"wv","n","5664242",NA,"m",125,"bl",1,"head","s",NA,NA,NA,NA,NA,0,0,1,0,1,1,1,"m","lm","",0,0,1,1,0,2,1,5,"5664242"
"210",210,210,"elb","elb04","led01",NA,"cl22",2020,"2020-07-27",1,"wv","n","5598297",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,"5598297"
"211",211,211,"elb","","led01",NA,"cl18",2020,"2020-07-28",2,"wv","r","5662705",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5663705"
"212",212,212,"elb","","led01",NA,"cl42",2020,"2020-07-28",2,"wv","r","5667730",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5667730"
